geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 9 (2024), California",669628,1489,139435,51356,3498,318156,127875
"State Senate District 9 (2024), Colorado",127449,237,4336,4075,227,103392,11006
"State Senate District 9 (2024), Connecticut",80287,21,4026,5411,10,61417,7089
"State Senate District 9 (2024), Delaware",32979,5,1687,5522,9,21752,3365
"State Senate District 9 (2024), Florida",439627,490,9077,57552,175,307259,55716
"State Senate District 9 (2024), Georgia",122516,113,15379,41832,47,45382,16586
"State Senate District 9 (2024), Hawaii",41278,41,21388,368,1830,9566,1763
"State Senate District 9 (2024), Idaho",39506,105,430,83,22,32502,5247
"State Senate District 9 (2024), Illinois",148934,72,18374,12014,43,103636,11268
"State Senate District 9 (2024), Indiana",97821,32,815,3131,0,86422,5330
"State Senate District 9 (2024), Iowa",48788,78,114,518,37,46218,958
"State Senate District 9 (2024), Kansas",56373,128,711,1248,14,49324,3471
"State Senate District 9 (2024), Kentucky",92719,75,997,4944,21,81541,2406
"State Senate District 9 (2024), Louisiana",89872,48,2248,10556,0,66835,7561
"State Senate District 9 (2024), Maine",31085,167,231,628,5,28892,610
"State Senate District 9 (2024), Maryland",88703,211,18261,7762,71,55772,4375
"State Senate District 9 (2024), Michigan",187406,320,24291,9507,143,144496,4177
"State Senate District 9 (2024), Minnesota",65614,261,326,436,13,62122,1389
"State Senate District 9 (2024), Mississippi",48505,57,670,10398,0,35226,1479
"State Senate District 9 (2024), Missouri",130348,163,1038,71594,48,46160,7245
"State Senate District 9 (2024), Montana",17448,523,83,81,0,15904,390
"State Senate District 9 (2024), Nebraska",31627,57,685,1950,0,25126,2457
"State Senate District 9 (2024), Nevada",107997,533,22045,12052,1434,48095,19342
"State Senate District 9 (2024), New Hampshire",43970,13,1346,138,3,40620,1179
"State Senate District 9 (2024), New Jersey",197097,21,2922,4601,13,173694,13719
"State Senate District 9 (2024), New Mexico",42398,2071,339,847,3,22075,16494
"State Senate District 9 (2024), New York",232394,31,23289,33183,13,134883,36925
"State Senate District 9 (2024), North Carolina",150189,1509,675,35857,39,99503,9701
"State Senate District 9 (2024), North Dakota",11305,7425,52,42,6,3274,105
"State Senate District 9 (2024), Ohio",263860,279,4136,86089,89,154498,8145
"State Senate District 9 (2024), Oklahoma",60767,12541,372,4954,2,34193,2817
"State Senate District 9 (2024), Oregon",103731,619,1289,763,274,85563,11606
"State Senate District 9 (2024), Pennsylvania",190344,61,6891,29207,57,140405,10369
"State Senate District 9 (2024), Rhode Island",23599,23,440,463,1,20555,1708
"State Senate District 9 (2024), South Carolina",89424,307,965,19543,60,63238,3222
"State Senate District 9 (2024), South Dakota",19978,96,260,1137,64,17257,514
"State Senate District 9 (2024), Tennessee",165612,180,666,3389,28,152636,5947
"State Senate District 9 (2024), Texas",665281,1264,29949,71509,475,400019,146576
"State Senate District 9 (2024), Utah",91966,679,2467,1668,743,71957,10407
"State Senate District 9 (2024), Virginia",169677,127,786,55855,3,106089,3503
"State Senate District 9 (2024), West Virginia",84973,10,463,5196,7,76731,991
"State Senate District 9 (2024), Wisconsin",137649,188,4894,2230,144,122132,5876
"State Senate District 9 (2024), Wyoming",15801,85,253,149,31,12828,1874
"State Senate District A (2024), Alaska",27369,4331,1568,162,140,16839,1472
"State Senate District B (2024), Alaska",27566,2323,1553,201,234,19273,1417
"State Senate District C (2024), Alaska",28371,1831,2194,191,104,21071,1343
"State Senate District D (2024), Alaska",28386,1718,421,224,25,23153,1039
"State Senate District E (2024), Alaska",26135,1395,1665,648,540,18518,1422
"State Senate District F (2024), Alaska",26489,1686,2959,1003,416,16421,2207
"State Senate District G (2024), Alaska",27433,3192,2083,1211,792,15539,2319
"State Senate District H (2024), Alaska",27792,1783,2479,1072,446,18817,1354
"State Senate District I (2024), Alaska",25985,1998,1180,1571,734,16145,2624
"State Senate District J (2024), Alaska",25193,2730,2892,2129,1206,11933,1992
"State Senate District K (2024), Alaska",26206,2558,3368,2131,531,12583,2540
"State Senate District L (2024), Alaska",26600,902,783,880,211,20831,1727
"State Senate District M (2024), Alaska",28954,1402,342,451,129,23074,1455
"State Senate District N (2024), Alaska",29225,1534,482,310,96,23541,1357
"State Senate District O (2024), Alaska",29357,1703,420,452,131,23875,1136
"State Senate District P (2024), Alaska",26523,1877,916,1862,84,16946,2456
"State Senate District Q (2024), Alaska",27105,776,383,499,186,21913,1620
"State Senate District R (2024), Alaska",27720,4710,642,650,70,18073,1538
"State Senate District S (2024), Alaska",23300,14248,1934,684,94,3853,936
"State Senate District T (2024), Alaska",23104,15418,388,247,100,4951,653
"State Senate Districts not defined (2024), Connecticut",0,0,1,0,1,3,0
"State Senate Districts not defined (2024), Illinois",0,1,0,1,1,2,0
"State Senate Districts not defined (2024), Louisiana",0,0,0,2,2,0,0
"State Senate Districts not defined (2024), New Hampshire",0,3,0,0,3,5,2
"State Senate Districts not defined (2024), Puerto Rico",1,0,0,0,1,0,3
"State Senate Districts not defined (2024), Wisconsin",0,1,0,1,0,1,0
"Suffolk and Middlesex District (2024), Massachusetts",130932,85,15785,6886,71,94002,9992
"Third Bristol and Plymouth District (2024), Massachusetts",144388,135,1506,6478,195,128588,4980
"Third Essex District (2024), Massachusetts",122401,142,5616,8472,95,83276,22448
"Third Middlesex District (2024), Massachusetts",122082,230,12301,4799,98,94202,7797
"Third Suffolk District (2024), Massachusetts",116071,175,6347,5149,0,82717,19436
"Ward 1 (2024), District of Columbia",59936,103,3473,14048,53,32473,7098
"Ward 2 (2024), District of Columbia",66149,75,4913,6810,115,45531,6514
"Ward 3 (2024), District of Columbia",59545,19,3207,5613,0,44485,4098
"Ward 4 (2024), District of Columbia",56698,84,1187,29664,25,17491,6327
"Ward 5 (2024), District of Columbia",68374,89,2100,39969,0,19482,4397
"Ward 6 (2024), District of Columbia",69583,6,2976,16349,20,42798,5096
"Ward 7 (2024), District of Columbia",65023,91,529,53828,0,5668,2660
"Ward 8 (2024), District of Columbia",61327,139,598,50224,28,7015,1597
"Washington Senatorial District (2024), Vermont",54120,17,324,417,0,51101,1281
"Windham Senatorial District (2024), Vermont",34179,13,294,341,0,31797,892
"Windsor Senatorial District (2024), Vermont",48507,35,379,213,2,45852,1019
"Worcester and Hampden District (2024), Massachusetts",141176,65,2113,2020,11,124260,10843
"Worcester and Hampshire District (2024), Massachusetts",131154,111,2488,3311,25,116420,6602
"Worcester and Middlesex District (2024), Massachusetts",131404,24,5155,4473,42,102929,16293
